City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,kas,36.2018,29.6377,30.2,55,0,2.82,TR,1693645957
268,mwinilunga,-11.7358,24.4293,29.67,19,76,3.04,ZM,1693645957
269,bereznik,62.8551,42.7072,23.29,53,7,3.23,RU,1693645957
270,mejit,10.2753,170.8646,28.73,71,37,1.57,MH,1693645958
271,aksu,41.1231,80.2644,33.35,13,86,0.83,CN,1693645958
272,kalemie,-5.9475,29.1947,28.56,49,29,5.01,CD,1693645958
273,dryden,49.7833,-92.7503,16.16,94,0,3.6,CA,1693645959
274,peniche,39.3558,-9.3811,19.6,83,67,6.17,PT,1693645959
275,yuci,37.6803,112.7319,28.86,37,0,1.0,CN,1693645799
276,abepura,-2.6333,140.5833,29.45,66,20,1.54,ID,1693645959
277,tsiombe,-25.3,45.4833,30.68,29,0,2.43,MG,1693645960
278,tvoroyri,61.5556,-6.8111,12.45,86,100,10.02,FO,1693645960
279,kayangel,8.0823,134.7173,28.35,84,100,6.32,PW,1693645960
280,yermakovskoye,53.2831,92.4003,23.7,36,9,1.33,RU,1693645960
281,lazaro cardenas,17.9583,-102.2,26.63,87,100,1.94,MX,1693645961
282,gunjur,13.2019,-16.7339,26.04,89,40,2.06,GM,1693645961
283,prata,-19.3072,-48.9242,23.1,65,15,4.63,BR,1693645961
284,caleta de carquin,-11.0925,-77.6267,18.24,87,100,3.88,PE,1693645961
285,nagqu,31.5,92.0,15.18,23,4,1.47,CN,1693645962
286,masterton,-40.9597,175.6575,4.86,91,30,0.64,NZ,1693645962
287,maumere,-8.6199,122.2111,26.56,55,87,0.46,ID,1693645962
288,balaklava,44.5,33.6,30.21,41,45,2.56,UA,1693645962
289,cole harbour,44.6724,-63.4751,12.77,91,0,1.54,CA,1693645963
290,gutao,37.2025,112.1781,29.22,38,13,3.84,CN,1693645963
291,birpara,26.7042,89.1455,33.51,63,33,1.76,IN,1693645963
292,freetown,8.484,-13.2299,26.22,82,99,2.65,SL,1693645964
293,dabakala,8.3667,-4.4333,23.56,94,99,2.72,CI,1693645964
294,kish,26.5578,54.0194,36.15,56,20,5.14,IR,1693645964
295,brookings,44.3114,-96.7984,21.32,78,0,3.09,US,1693645965
296,tandalti,13.0167,31.8667,33.8,38,91,5.38,SD,1693645965
297,alibag,18.6411,72.8792,29.04,75,57,4.0,IN,1693645965
298,wakkanai,45.4094,141.6739,22.27,76,0,3.13,JP,1693645965
299,port augusta,-32.5,137.7667,17.08,42,4,3.57,AU,1693645966
300,masjed soleyman,31.9364,49.3039,42.24,11,0,3.43,IR,1693645966
301,babaita,44.1667,25.3833,28.55,33,5,3.36,RO,1693645966
302,lima,-12.0432,-77.0282,18.83,84,100,3.6,PE,1693645800
303,kanniyakumari,8.0833,77.5667,28.32,76,63,9.23,IN,1693645967
304,santiago de cao,-7.9589,-79.2392,20.07,88,75,3.09,PE,1693645967
305,benghazi,32.1167,20.0667,28.36,55,0,3.97,LY,1693645967
306,jiuquan,39.7432,98.5174,32.93,8,0,5.94,CN,1693645968
307,dampit,-8.2116,112.7493,23.01,74,59,3.27,ID,1693645968
308,ulety,51.3572,112.4849,17.69,85,100,3.53,RU,1693645968
309,lockwood,45.8191,-108.4149,22.58,52,0,5.14,US,1693645969
310,sudak,44.85,34.9667,28.01,48,16,4.51,UA,1693645969
311,bowling green,36.9903,-86.4436,23.96,88,100,1.54,US,1693645795
312,fort-shevchenko,44.5086,50.263,24.82,40,16,4.18,KZ,1693645969
313,shar,49.5886,81.0453,26.17,21,92,6.75,KZ,1693645970
314,misantla,19.9333,-96.8333,21.88,83,92,1.96,MX,1693645970
